VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, TEXCOORD0.x, TEXCOORD0.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, BINORMAL.x, BINORMAL.y, BINORMAL.z, BINORMAL.w, TEXCOORD3.x, TEXCOORD3.y, TEXCOORD3.z, TEXCOORD3.w, TEXCOORD4.x, TEXCOORD4.y, TEXCOORD4.z, TEXCOORD4.w, TEXCOORD5.x, TEXCOORD5.y, TEXCOORD5.z, TEXCOORD5.w
0, 2,  0.52438,  0.85879,  0.99207,  0.0,  0.48627,  0.25882,  0.93725,  0.0,  0.75341,  0.12988, -0.93429, -0.0047, -0.3564,  1.0, -0.0773, -0.91763, -0.38981,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
1, 1,  0.13675,  1.0,  0.86163,  0.0,  0.18039,  0.42745,  0.87451,  0.0,  0.76562,  0.13208, -0.32353,  0.0, -0.9462,  1.0, -0.0773, -0.91763, -0.38981,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
2, 0,  0.53939,  1.0,  1.0,  0.0,  0.54118,  0.38824,  0.98431,  0.0,  0.75341,  0.13208, -0.94632,  0.0, -0.32316,  1.0, -0.31526, -0.93445, -0.16553,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
3, 1,  0.13675,  1.0,  0.86163,  0.0,  0.18039,  0.42745,  0.87451,  0.0,  0.76562,  0.13208, -0.32353,  0.0, -0.9462,  1.0, -0.0773, -0.91763, -0.38981,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
4, 2,  0.52438,  0.85879,  0.99207,  0.0,  0.48627,  0.25882,  0.93725,  0.0,  0.75341,  0.12988, -0.93429, -0.0047, -0.3564,  1.0, -0.0773, -0.91763, -0.38981,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
5, 3,  0.13283,  0.85254,  0.84176,  0.0,  0.15294,  0.29412,  0.79608,  0.0,  0.76562,  0.12988, -0.33702,  0.00388, -0.94147,  1.0,  0.03473, -0.95624,  0.29044,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
6, 3,  0.13283,  0.85254,  0.84176,  0.0,  0.15294,  0.29412,  0.79608,  0.0,  0.76562,  0.12988, -0.33702,  0.00388, -0.94147,  1.0,  0.03473, -0.95624,  0.29044,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
7, 4,  0.0,  1.0,  0.45922,  0.0,  0.0,  0.47843,  0.45098,  0.0,  0.78222,  0.13208,  0.39421, -0.00546, -0.91897,  1.0, -0.15513, -0.92267,  0.35298,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
8, 1,  0.13675,  1.0,  0.86163,  0.0,  0.18039,  0.42745,  0.87451,  0.0,  0.76562,  0.13208, -0.32353,  0.0, -0.9462,  1.0, -0.0773, -0.91763, -0.38981,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
9, 4,  0.0,  1.0,  0.45922,  0.0,  0.0,  0.47843,  0.45098,  0.0,  0.78222,  0.13208,  0.39421, -0.00546, -0.91897,  1.0, -0.15513, -0.92267,  0.35298,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
10, 3,  0.13283,  0.85254,  0.84176,  0.0,  0.15294,  0.29412,  0.79608,  0.0,  0.76562,  0.12988, -0.33702,  0.00388, -0.94147,  1.0,  0.03473, -0.95624,  0.29044,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
11, 5,  0.00163,  0.85736,  0.47295,  0.0,  0.03922,  0.30196,  0.50588,  0.0,  0.78222,  0.12988,  0.37562, -0.009, -0.92669,  1.0,  0.03473, -0.95624,  0.29044,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
12, 5,  0.00163,  0.85736,  0.47295,  0.0,  0.03922,  0.30196,  0.50588,  0.0,  0.78222,  0.12988,  0.37562, -0.009, -0.92669,  1.0,  0.03473, -0.95624,  0.29044,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
13, 6,  0.13326,  0.84732,  0.1462,  0.0,  0.16471,  0.28627,  0.19608,  0.0,  0.79638,  0.12988,  0.93316,  0.00079, -0.35939,  1.0, -0.15513, -0.92267,  0.35298,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
14, 4,  0.0,  1.0,  0.45922,  0.0,  0.0,  0.47843,  0.45098,  0.0,  0.78222,  0.13208,  0.39421, -0.00546, -0.91897,  1.0, -0.15513, -0.92267,  0.35298,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
15, 6,  0.13326,  0.84732,  0.1462,  0.0,  0.16471,  0.28627,  0.19608,  0.0,  0.79638,  0.12988,  0.93316,  0.00079, -0.35939,  1.0, -0.15513, -0.92267,  0.35298,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
16, 7,  0.14101,  0.99377,  0.12842,  0.0,  0.18824,  0.42353,  0.1098,  0.0,  0.79638,  0.13208,  0.94198,  0.00513, -0.33555,  1.0,  0.10501, -0.99322,  0.04913,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
17, 4,  0.0,  1.0,  0.45922,  0.0,  0.0,  0.47843,  0.45098,  0.0,  0.78222,  0.13208,  0.39421, -0.00546, -0.91897,  1.0, -0.15513, -0.92267,  0.35298,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
18, 6,  0.13326,  0.84732,  0.1462,  0.0,  0.16471,  0.28627,  0.19608,  0.0,  0.79638,  0.12988,  0.93316,  0.00079, -0.35939,  1.0, -0.15513, -0.92267,  0.35298,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
19, 8,  0.50434,  0.84834,  0.00238,  0.0,  0.50196,  0.28627,  0.04706,  0.0,  0.81201,  0.12988,  0.93731, -0.01044,  0.34825,  1.0,  0.00479, -0.99664,  0.08158,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
20, 7,  0.14101,  0.99377,  0.12842,  0.0,  0.18824,  0.42353,  0.1098,  0.0,  0.79638,  0.13208,  0.94198,  0.00513, -0.33555,  1.0,  0.10501, -0.99322,  0.04913,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
21, 8,  0.50434,  0.84834,  0.00238,  0.0,  0.50196,  0.28627,  0.04706,  0.0,  0.81201,  0.12988,  0.93731, -0.01044,  0.34825,  1.0,  0.00479, -0.99664,  0.08158,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
22, 9,  0.49929,  1.0,  0.0,  0.0,  0.48627,  0.43529,  0.00392,  0.0,  0.81201,  0.13208,  0.94043,  0.0,  0.33992,  1.0,  0.10501, -0.99322,  0.04913,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
23, 7,  0.14101,  0.99377,  0.12842,  0.0,  0.18824,  0.42353,  0.1098,  0.0,  0.79638,  0.13208,  0.94198,  0.00513, -0.33555,  1.0,  0.10501, -0.99322,  0.04913,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
24, 8,  0.50434,  0.84834,  0.00238,  0.0,  0.50196,  0.28627,  0.04706,  0.0,  0.81201,  0.12988,  0.93731, -0.01044,  0.34825,  1.0,  0.00479, -0.99664,  0.08158,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
25, 10,  0.86194,  1.0,  0.13191,  0.0,  0.83529,  0.47059,  0.13333,  0.0,  0.82763,  0.13208,  0.39064,  0.0,  0.92053,  1.0,  0.00479, -0.99664,  0.08158,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
26, 9,  0.49929,  1.0,  0.0,  0.0,  0.48627,  0.43529,  0.00392,  0.0,  0.81201,  0.13208,  0.94043,  0.0,  0.33992,  1.0,  0.10501, -0.99322,  0.04913,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
27, 10,  0.86194,  1.0,  0.13191,  0.0,  0.83529,  0.47059,  0.13333,  0.0,  0.82763,  0.13208,  0.39064,  0.0,  0.92053,  1.0,  0.00479, -0.99664,  0.08158,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
28, 8,  0.50434,  0.84834,  0.00238,  0.0,  0.50196,  0.28627,  0.04706,  0.0,  0.81201,  0.12988,  0.93731, -0.01044,  0.34825,  1.0,  0.00479, -0.99664,  0.08158,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
29, 11,  0.86218,  0.83571,  0.13617,  0.0,  0.81961,  0.30196,  0.16863,  0.0,  0.82763,  0.12988,  0.38212,  0.01035,  0.92404,  1.0,  0.0238, -0.95431,  0.29777,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
30, 11,  0.86218,  0.83571,  0.13617,  0.0,  0.81961,  0.30196,  0.16863,  0.0,  0.82763,  0.12988,  0.38212,  0.01035,  0.92404,  1.0,  0.0238, -0.95431,  0.29777,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
31, 12,  0.99879,  1.0,  0.45644,  0.0,  0.99608,  0.47843,  0.44706,  0.0,  0.84179,  0.13208, -0.30766,  0.0,  0.95148,  1.0,  0.0238, -0.95431,  0.29777,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
32, 10,  0.86194,  1.0,  0.13191,  0.0,  0.83529,  0.47059,  0.13333,  0.0,  0.82763,  0.13208,  0.39064,  0.0,  0.92053,  1.0,  0.00479, -0.99664,  0.08158,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
33, 12,  0.99879,  1.0,  0.45644,  0.0,  0.99608,  0.47843,  0.44706,  0.0,  0.84179,  0.13208, -0.30766,  0.0,  0.95148,  1.0,  0.0238, -0.95431,  0.29777,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
34, 11,  0.86218,  0.83571,  0.13617,  0.0,  0.81961,  0.30196,  0.16863,  0.0,  0.82763,  0.12988,  0.38212,  0.01035,  0.92404,  1.0,  0.0238, -0.95431,  0.29777,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
35, 13,  1.0,  0.84755,  0.47153,  0.0,  0.96078,  0.30588,  0.50196,  0.0,  0.84179,  0.12988, -0.33488,  0.00345,  0.94223,  1.0, -0.0961, -0.98889, -0.11335,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
36, 13,  1.0,  0.84755,  0.47153,  0.0,  0.96078,  0.30588,  0.50196,  0.0,  0.84179,  0.12988, -0.33488,  0.00345,  0.94223,  1.0, -0.0961, -0.98889, -0.11335,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
37, 14,  0.86807,  1.0,  0.86326,  0.0,  0.85882,  0.43922,  0.83922,  0.0,  0.85888,  0.13208, -0.92413,  0.0,  0.38203,  1.0, -0.0961, -0.98889, -0.11335,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
